epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,14.3287,0.91505,1.60549,1.15349,0.62797,0.47744,0.62239,0.44247,1.46174,2.20036,1.51066,0.00020701,0.00020701,0.00020701
66,14.6019,0.9246,1.551,1.18173,0.64058,0.5049,0.61692,0.44472,1.52355,2.1445,1.57116,0.00020551,0.00020551,0.00020551
67,14.8044,0.90199,1.56544,1.14608,0.64058,0.5049,0.61692,0.44472,1.52355,2.1445,1.57116,0.00020401,0.00020401,0.00020401
68,14.9938,0.81871,1.41822,1.08515,0.77839,0.501,0.62978,0.45282,1.50209,2.1575,1.50932,0.00020251,0.00020251,0.00020251
69,15.1979,0.87021,1.54813,1.15475,0.77839,0.501,0.62978,0.45282,1.50209,2.1575,1.50932,0.00020101,0.00020101,0.00020101
70,15.4012,0.83247,1.26391,1.07457,0.66857,0.54242,0.63591,0.45679,1.49098,2.09525,1.50338,0.00019951,0.00019951,0.00019951
71,15.6087,0.89329,1.42691,1.13194,0.66857,0.54242,0.63591,0.45679,1.49098,2.09525,1.50338,0.00019801,0.00019801,0.00019801
72,15.8036,0.78967,1.40421,1.14636,0.75692,0.45801,0.63959,0.44887,1.51233,2.0324,1.5139,0.000196511,0.000196511,0.000196511
73,15.9838,0.86001,1.31204,1.13302,0.75692,0.45801,0.63959,0.44887,1.51233,2.0324,1.5139,0.000195011,0.000195011,0.000195011
74,16.1764,0.80638,1.27658,1.06786,0.74294,0.50455,0.66118,0.47726,1.55113,2.00079,1.55235,0.000193511,0.000193511,0.000193511
75,16.3772,0.83987,1.41195,1.11876,0.74294,0.50455,0.66118,0.47726,1.55113,2.00079,1.55235,0.000192011,0.000192011,0.000192011
76,16.5784,0.75518,1.57623,1.15596,0.72717,0.60012,0.66173,0.48131,1.57363,2.00924,1.58117,0.000190511,0.000190511,0.000190511
77,16.7721,0.80165,1.30284,1.0597,0.72717,0.60012,0.66173,0.48131,1.57363,2.00924,1.58117,0.000189011,0.000189011,0.000189011
78,17.0079,0.76371,1.25333,1.08701,0.70194,0.69394,0.67838,0.49176,1.58449,1.96985,1.6072,0.000187512,0.000187512,0.000187512
79,17.2311,0.78945,1.24008,1.07922,0.70194,0.69394,0.67838,0.49176,1.58449,1.96985,1.6072,0.000186012,0.000186012,0.000186012
80,17.4555,0.82124,1.28205,1.14808,0.7158,0.68538,0.69911,0.49919,1.54671,1.94562,1.576,0.000184512,0.000184512,0.000184512
81,17.6718,0.82077,1.32319,1.09414,0.7158,0.68538,0.69911,0.49919,1.54671,1.94562,1.576,0.000183012,0.000183012,0.000183012
82,17.9828,0.86998,1.23036,1.09345,0.5982,0.68245,0.71782,0.53097,1.50863,1.8718,1.54614,0.000181512,0.000181512,0.000181512
83,18.2051,0.74966,1.21076,1.08308,0.5982,0.68245,0.71782,0.53097,1.50863,1.8718,1.54614,0.000180012,0.000180012,0.000180012
84,18.4355,0.85476,1.25517,1.13963,0.62726,0.68431,0.73537,0.53664,1.50092,1.7362,1.58403,0.000178512,0.000178512,0.000178512
85,18.6523,0.75933,1.11206,1.02978,0.62726,0.68431,0.73537,0.53664,1.50092,1.7362,1.58403,0.000177013,0.000177013,0.000177013
86,18.8861,0.88263,1.2845,1.16103,0.66095,0.68117,0.73168,0.5402,1.50291,1.65977,1.59726,0.000175513,0.000175513,0.000175513
87,19.1134,0.77311,1.21844,1.09844,0.66095,0.68117,0.73168,0.5402,1.50291,1.65977,1.59726,0.000174013,0.000174013,0.000174013
88,19.3378,0.7694,1.16177,1.0736,0.66636,0.68174,0.73934,0.55048,1.4654,1.60305,1.53621,0.000172513,0.000172513,0.000172513
89,19.5382,0.76977,1.20815,1.09526,0.66636,0.68174,0.73934,0.55048,1.4654,1.60305,1.53621,0.000171013,0.000171013,0.000171013
90,19.761,0.7542,1.10789,1.10568,0.66187,0.68527,0.73573,0.55144,1.47963,1.571,1.53924,0.000169513,0.000169513,0.000169513
91,19.9824,0.75095,1.19018,1.05879,0.66187,0.68527,0.73573,0.55144,1.47963,1.571,1.53924,0.000168013,0.000168013,0.000168013
92,20.1933,0.64697,1.17529,1.02646,0.64426,0.74039,0.76281,0.57413,1.52506,1.53726,1.59955,0.000166514,0.000166514,0.000166514
93,20.3867,0.89218,1.21017,1.07151,0.64426,0.74039,0.76281,0.57413,1.52506,1.53726,1.59955,0.000165014,0.000165014,0.000165014
94,20.623,0.7351,1.09412,1.08963,0.74663,0.70575,0.76528,0.57331,1.49572,1.53144,1.55424,0.000163514,0.000163514,0.000163514
95,20.816,0.81758,1.05332,1.03252,0.74663,0.70575,0.76528,0.57331,1.49572,1.53144,1.55424,0.000162014,0.000162014,0.000162014
96,21.0085,0.72339,1.10721,1.05929,0.73086,0.71563,0.82113,0.60365,1.43735,1.50217,1.46956,0.000160514,0.000160514,0.000160514
97,21.2256,0.6936,1.03988,1.06311,0.73086,0.71563,0.82113,0.60365,1.43735,1.50217,1.46956,0.000159014,0.000159014,0.000159014
98,21.5363,0.69263,1.05216,1.04661,0.86988,0.6323,0.82025,0.59993,1.40923,1.46515,1.42456,0.000157515,0.000157515,0.000157515
99,21.7379,0.74608,1.05151,1.0721,0.86988,0.6323,0.82025,0.59993,1.40923,1.46515,1.42456,0.000156015,0.000156015,0.000156015
100,21.9443,0.73803,1.00464,1.02686,0.64194,0.78765,0.83062,0.60496,1.39278,1.41911,1.40566,0.000154515,0.000154515,0.000154515
101,22.1624,0.6888,1.08878,1.03753,0.64194,0.78765,0.83062,0.60496,1.39278,1.41911,1.40566,0.000153015,0.000153015,0.000153015
102,22.3603,0.69988,1.02405,1.02172,0.55043,0.82288,0.83057,0.59927,1.41863,1.39616,1.43189,0.000151515,0.000151515,0.000151515
103,22.5517,0.73668,1.03584,1.05752,0.55043,0.82288,0.83057,0.59927,1.41863,1.39616,1.43189,0.000150015,0.000150015,0.000150015
104,22.7515,0.75066,0.97072,1.02431,0.59494,0.87191,0.84541,0.59814,1.43759,1.40983,1.43849,0.000148515,0.000148515,0.000148515
105,22.9513,0.70384,0.96135,1.04596,0.59494,0.87191,0.84541,0.59814,1.43759,1.40983,1.43849,0.000147016,0.000147016,0.000147016
106,23.1435,0.69453,1.0227,1.04716,0.61517,0.84528,0.83239,0.58276,1.43888,1.4227,1.43685,0.000145516,0.000145516,0.000145516
107,23.3398,0.75149,1.03362,1.04595,0.61517,0.84528,0.83239,0.58276,1.43888,1.4227,1.43685,0.000144016,0.000144016,0.000144016
108,23.5451,0.65385,0.89039,1.00366,0.62211,0.83655,0.8241,0.57031,1.42591,1.45967,1.41394,0.000142516,0.000142516,0.000142516
109,23.7419,0.70879,0.98997,1.05516,0.62211,0.83655,0.8241,0.57031,1.42591,1.45967,1.41394,0.000141016,0.000141016,0.000141016
110,23.9427,0.69798,0.98706,1.03408,0.6083,0.91044,0.80743,0.572,1.41149,1.46316,1.40647,0.000139516,0.000139516,0.000139516
111,24.1429,0.70195,0.93445,1.01554,0.6083,0.91044,0.80743,0.572,1.41149,1.46316,1.40647,0.000138016,0.000138016,0.000138016
112,24.3354,0.74297,0.96064,1.04172,0.60496,0.91049,0.86616,0.63236,1.40596,1.44549,1.4028,0.000136517,0.000136517,0.000136517
113,24.5266,0.68882,1.00727,1.07031,0.60496,0.91049,0.86616,0.63236,1.40596,1.44549,1.4028,0.000135017,0.000135017,0.000135017
114,24.753,0.69606,0.95419,1.07182,0.60935,0.90827,0.86525,0.63761,1.37781,1.42811,1.384,0.000133517,0.000133517,0.000133517
115,25.0147,0.6572,0.87418,0.99335,0.60935,0.90827,0.86525,0.63761,1.37781,1.42811,1.384,0.000132017,0.000132017,0.000132017
116,25.2197,0.67643,1.02197,1.08891,0.62236,0.90472,0.86425,0.63532,1.37629,1.41858,1.38451,0.000130517,0.000130517,0.000130517
117,25.4143,0.65964,0.93731,0.98285,0.62236,0.90472,0.86425,0.63532,1.37629,1.41858,1.38451,0.000129017,0.000129017,0.000129017
118,25.6253,0.62352,0.89672,1.02114,0.63265,0.87576,0.84165,0.62653,1.3874,1.41026,1.39433,0.000127518,0.000127518,0.000127518
119,25.8157,0.67188,0.92106,1.01012,0.63265,0.87576,0.84165,0.62653,1.3874,1.41026,1.39433,0.000126018,0.000126018,0.000126018
120,26.0059,0.64684,0.88923,1.01779,0.67975,0.89041,0.85162,0.66026,1.41821,1.40641,1.43368,0.000124518,0.000124518,0.000124518
121,26.2164,0.65124,0.87553,1.00933,0.67975,0.89041,0.85162,0.66026,1.41821,1.40641,1.43368,0.000123018,0.000123018,0.000123018
122,26.4175,0.67896,0.89517,1.02107,0.69757,0.88393,0.85876,0.66278,1.44168,1.41434,1.4542,0.000121518,0.000121518,0.000121518
123,26.608,0.65814,1.03903,1.04946,0.69757,0.88393,0.85876,0.66278,1.44168,1.41434,1.4542,0.000120018,0.000120018,0.000120018
124,26.8187,0.71173,0.96357,1.01836,0.70227,0.88373,0.85946,0.65581,1.44251,1.41473,1.46096,0.000118518,0.000118518,0.000118518
125,27.0041,0.63134,0.83373,0.98593,0.70227,0.88373,0.85946,0.65581,1.44251,1.41473,1.46096,0.000117019,0.000117019,0.000117019
126,27.2021,0.68478,0.95083,1.04069,0.71523,0.87649,0.85967,0.65569,1.4504,1.39354,1.47769,0.000115519,0.000115519,0.000115519
127,27.3844,0.64137,0.96286,0.99906,0.71523,0.87649,0.85967,0.65569,1.4504,1.39354,1.47769,0.000114019,0.000114019,0.000114019
128,27.5772,0.70803,0.89798,1.00517,0.73685,0.86893,0.85997,0.65611,1.44776,1.39289,1.47456,0.000112519,0.000112519,0.000112519
129,27.7579,0.66058,0.8525,1.01532,0.73685,0.86893,0.85997,0.65611,1.44776,1.39289,1.47456,0.000111019,0.000111019,0.000111019
130,27.9616,0.62059,0.89567,0.99578,0.75111,0.87395,0.86014,0.65028,1.44797,1.40933,1.46883,0.000109519,0.000109519,0.000109519
131,28.1582,0.62963,0.87518,0.9894,0.75111,0.87395,0.86014,0.65028,1.44797,1.40933,1.46883,0.000108019,0.000108019,0.000108019
132,28.447,0.65992,0.83708,1.01064,0.75222,0.86948,0.86661,0.64124,1.45629,1.42699,1.46445,0.00010652,0.00010652,0.00010652
133,28.6441,0.67547,0.92902,1.05407,0.75222,0.86948,0.86661,0.64124,1.45629,1.42699,1.46445,0.00010502,0.00010502,0.00010502
134,28.8483,0.68454,0.9215,1.00004,0.75526,0.83725,0.8664,0.63236,1.44425,1.42971,1.44551,0.00010352,0.00010352,0.00010352
135,29.0303,0.62545,0.85504,0.98569,0.75526,0.83725,0.8664,0.63236,1.44425,1.42971,1.44551,0.00010202,0.00010202,0.00010202
136,29.2313,0.63304,0.79225,0.9745,0.74597,0.85238,0.86879,0.63423,1.44134,1.41995,1.45468,0.00010052,0.00010052,0.00010052
137,29.4214,0.56296,0.83924,0.95162,0.74597,0.85238,0.86879,0.63423,1.44134,1.41995,1.45468,9.90204e-05,9.90204e-05,9.90204e-05
138,29.617,0.67142,0.99045,1.04487,0.72701,0.8584,0.86495,0.63288,1.43821,1.41643,1.45848,9.75205e-05,9.75205e-05,9.75205e-05
139,29.8072,0.63086,0.79899,0.97162,0.72701,0.8584,0.86495,0.63288,1.43821,1.41643,1.45848,9.60207e-05,9.60207e-05,9.60207e-05
140,30.0148,0.64481,0.89065,1.00347,0.71391,0.85137,0.85426,0.6326,1.41901,1.40232,1.45222,9.45209e-05,9.45209e-05,9.45209e-05
141,30.2099,0.56713,0.7764,0.97302,0.71391,0.85137,0.85426,0.6326,1.41901,1.40232,1.45222,9.3021e-05,9.3021e-05,9.3021e-05
142,30.4128,0.60365,0.79951,1.01916,0.73714,0.84362,0.85051,0.63624,1.40399,1.41685,1.44237,9.15212e-05,9.15212e-05,9.15212e-05
143,30.6106,0.58884,0.77555,0.96724,0.73714,0.84362,0.85051,0.63624,1.40399,1.41685,1.44237,9.00213e-05,9.00213e-05,9.00213e-05
144,30.8037,0.66375,0.82402,1.0332,0.75961,0.83318,0.85048,0.63512,1.39787,1.42034,1.44825,8.85215e-05,8.85215e-05,8.85215e-05
145,30.9915,0.58397,0.8819,0.97017,0.75961,0.83318,0.85048,0.63512,1.39787,1.42034,1.44825,8.70216e-05,8.70216e-05,8.70216e-05
146,31.1848,0.57367,0.79327,0.97995,0.74942,0.82942,0.85479,0.63176,1.38772,1.41921,1.44508,8.55217e-05,8.55217e-05,8.55217e-05
147,31.3696,0.58436,0.81279,0.95651,0.74942,0.82942,0.85479,0.63176,1.38772,1.41921,1.44508,8.40219e-05,8.40219e-05,8.40219e-05
148,31.5647,0.64413,0.85714,0.99165,0.71846,0.83143,0.85477,0.62662,1.37082,1.40613,1.42557,8.25221e-05,8.25221e-05,8.25221e-05
149,31.7532,0.57593,0.77603,0.96884,0.71846,0.83143,0.85477,0.62662,1.37082,1.40613,1.42557,8.10222e-05,8.10222e-05,8.10222e-05
150,32.0247,0.5687,0.80009,0.98958,0.6794,0.87779,0.85495,0.61782,1.36953,1.38839,1.42441,7.95223e-05,7.95223e-05,7.95223e-05
151,32.2111,0.67424,0.84275,1.01556,0.6794,0.87779,0.85495,0.61782,1.36953,1.38839,1.42441,7.80225e-05,7.80225e-05,7.80225e-05
152,32.4234,0.5693,0.80584,0.97027,0.68483,0.87772,0.85524,0.62112,1.37646,1.36842,1.43506,7.65227e-05,7.65227e-05,7.65227e-05
153,32.6246,0.58634,0.79308,0.98214,0.68483,0.87772,0.85524,0.62112,1.37646,1.36842,1.43506,7.50228e-05,7.50228e-05,7.50228e-05
154,32.8329,0.60352,0.82137,0.98904,0.68029,0.88507,0.85604,0.633,1.3691,1.35616,1.41828,7.3523e-05,7.3523e-05,7.3523e-05
155,33.03,0.57899,0.80981,0.9734,0.68029,0.88507,0.85604,0.633,1.3691,1.35616,1.41828,7.20231e-05,7.20231e-05,7.20231e-05
156,33.2245,0.66006,0.85572,1.02303,0.65272,0.88671,0.85627,0.63246,1.36758,1.3419,1.39963,7.05232e-05,7.05232e-05,7.05232e-05
157,33.4068,0.61113,0.83779,1.00548,0.65272,0.88671,0.85627,0.63246,1.36758,1.3419,1.39963,6.90234e-05,6.90234e-05,6.90234e-05
158,33.5992,0.60157,0.84946,1.01662,0.64247,0.89539,0.86885,0.64141,1.38137,1.32726,1.40379,6.75235e-05,6.75235e-05,6.75235e-05
159,33.782,0.58649,0.83735,0.9946,0.64247,0.89539,0.86885,0.64141,1.38137,1.32726,1.40379,6.60237e-05,6.60237e-05,6.60237e-05
160,33.9767,0.54308,0.81593,0.971,0.77534,0.78658,0.86917,0.62907,1.37331,1.34363,1.39045,6.45238e-05,6.45238e-05,6.45238e-05
161,34.1586,0.58859,0.81289,0.98751,0.77534,0.78658,0.86917,0.62907,1.37331,1.34363,1.39045,6.3024e-05,6.3024e-05,6.3024e-05
162,34.3545,0.62662,0.87948,1.03834,0.78711,0.78719,0.86922,0.62615,1.38127,1.3306,1.38618,6.15241e-05,6.15241e-05,6.15241e-05
163,34.5419,0.566,0.77414,0.96644,0.78711,0.78719,0.86922,0.62615,1.38127,1.3306,1.38618,6.00243e-05,6.00243e-05,6.00243e-05
164,34.747,0.58741,0.79777,0.97657,0.79152,0.78837,0.8694,0.62597,1.38092,1.32616,1.38552,5.85245e-05,5.85245e-05,5.85245e-05
165,34.9278,0.58274,0.78297,0.96965,0.79152,0.78837,0.8694,0.62597,1.38092,1.32616,1.38552,5.70246e-05,5.70246e-05,5.70246e-05
166,35.2083,0.57383,0.77112,0.95172,0.78915,0.78936,0.86998,0.62253,1.39975,1.32207,1.41332,5.55248e-05,5.55248e-05,5.55248e-05
167,35.3952,0.59571,0.77647,0.97008,0.78915,0.78936,0.86998,0.62253,1.39975,1.32207,1.41332,5.40249e-05,5.40249e-05,5.40249e-05
168,35.5884,0.57782,0.82806,0.96876,0.7786,0.79103,0.86993,0.62776,1.38788,1.3136,1.412,5.25251e-05,5.25251e-05,5.25251e-05
169,35.7894,0.57292,0.82578,0.96841,0.7786,0.79103,0.86993,0.62776,1.38788,1.3136,1.412,5.10252e-05,5.10252e-05,5.10252e-05
170,35.9849,0.62539,0.75713,1.00021,0.7786,0.79153,0.86969,0.61896,1.38552,1.30092,1.41887,4.95254e-05,4.95254e-05,4.95254e-05
171,36.1717,0.59484,0.77981,1.00765,0.7786,0.79153,0.86969,0.61896,1.38552,1.30092,1.41887,4.80255e-05,4.80255e-05,4.80255e-05
172,36.3685,0.5811,0.79873,0.96168,0.77852,0.79187,0.86909,0.61936,1.38708,1.29606,1.42304,4.65257e-05,4.65257e-05,4.65257e-05
173,36.557,0.61058,0.87197,1.032,0.77852,0.79187,0.86909,0.61936,1.38708,1.29606,1.42304,4.50258e-05,4.50258e-05,4.50258e-05
174,36.7473,0.55034,0.82631,0.96872,0.79133,0.79087,0.87378,0.62293,1.37997,1.302,1.42117,4.3526e-05,4.3526e-05,4.3526e-05
175,36.9336,0.56068,0.73535,0.96262,0.79133,0.79087,0.87378,0.62293,1.37997,1.302,1.42117,4.20261e-05,4.20261e-05,4.20261e-05
176,37.1431,0.51465,0.76019,0.95316,0.79447,0.79127,0.87484,0.62341,1.37594,1.29237,1.42118,4.05263e-05,4.05263e-05,4.05263e-05
177,37.3424,0.52544,0.72595,0.98076,0.79447,0.79127,0.87484,0.62341,1.37594,1.29237,1.42118,3.90264e-05,3.90264e-05,3.90264e-05
178,37.5562,0.58934,0.76321,0.98457,0.79698,0.79154,0.88038,0.6279,1.36746,1.29286,1.41606,3.75265e-05,3.75265e-05,3.75265e-05
179,37.7451,0.57898,0.86676,1.02165,0.79698,0.79154,0.88038,0.6279,1.36746,1.29286,1.41606,3.60267e-05,3.60267e-05,3.60267e-05
180,37.9379,0.54902,0.77662,0.98165,0.80035,0.79139,0.88041,0.63629,1.36216,1.29063,1.41068,3.45268e-05,3.45268e-05,3.45268e-05
181,38.2114,0.60359,0.80731,1.04787,0.80035,0.79139,0.88041,0.63629,1.36216,1.29063,1.41068,3.3027e-05,3.3027e-05,3.3027e-05
