epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,1375.74,0.76124,0.58746,1.18896,0.87967,0.82042,0.89359,0.66878,0.99316,0.68254,1.4706,0.005644,0.005644,0.005644
90,1391.16,0.7537,0.58663,1.18337,0.8694,0.85049,0.91175,0.68616,0.9766,0.63339,1.44193,0.0055945,0.0055945,0.0055945
91,1406.61,0.7591,0.58001,1.17629,0.84029,0.86979,0.90508,0.67747,0.94633,0.65558,1.42972,0.005545,0.005545,0.005545
92,1422.06,0.74705,0.58096,1.17926,0.85005,0.89777,0.91638,0.68445,0.97365,0.62767,1.44304,0.0054955,0.0054955,0.0054955
93,1437.5,0.74332,0.57398,1.17302,0.82572,0.8692,0.91413,0.67272,0.97902,0.62721,1.46477,0.005446,0.005446,0.005446
94,1452.93,0.74246,0.57421,1.1734,0.85999,0.84837,0.89702,0.66328,0.99117,0.64812,1.48574,0.0053965,0.0053965,0.0053965
95,1468.36,0.74039,0.57356,1.17382,0.88723,0.82405,0.90996,0.66968,0.98372,0.62874,1.46522,0.005347,0.005347,0.005347
96,1483.78,0.7385,0.56789,1.17231,0.8419,0.8643,0.89325,0.67079,0.99449,0.65217,1.48086,0.0052975,0.0052975,0.0052975
97,1499.21,0.73789,0.56154,1.17078,0.85708,0.86256,0.91343,0.68079,0.97829,0.62418,1.45496,0.005248,0.005248,0.005248
98,1514.63,0.74506,0.56976,1.17746,0.8647,0.87207,0.91775,0.67806,0.99215,0.63425,1.46511,0.0051985,0.0051985,0.0051985
99,1530.08,0.72922,0.55107,1.16491,0.85769,0.8566,0.90855,0.67709,0.97145,0.65716,1.44746,0.005149,0.005149,0.005149
100,1545.49,0.73114,0.55865,1.16106,0.87125,0.82655,0.89694,0.67333,0.96738,0.6687,1.45501,0.0050995,0.0050995,0.0050995
101,1560.92,0.72822,0.55705,1.1591,0.90181,0.82733,0.90113,0.67144,0.98204,0.66661,1.46115,0.00505,0.00505,0.00505
102,1576.38,0.73801,0.56134,1.16956,0.91724,0.80738,0.90044,0.66404,0.99793,0.66187,1.4784,0.0050005,0.0050005,0.0050005
103,1591.81,0.72702,0.55123,1.16619,0.87836,0.84721,0.90746,0.68065,0.97529,0.62785,1.45581,0.004951,0.004951,0.004951
104,1607.26,0.71608,0.54131,1.15614,0.90384,0.81748,0.89935,0.67924,0.99022,0.66057,1.49066,0.0049015,0.0049015,0.0049015
105,1622.69,0.716,0.53552,1.15797,0.86252,0.83955,0.89956,0.67727,0.97255,0.64805,1.45833,0.004852,0.004852,0.004852
106,1638.12,0.70819,0.52898,1.14883,0.9232,0.82387,0.91669,0.68321,0.96585,0.6361,1.45535,0.0048025,0.0048025,0.0048025
107,1653.56,0.72048,0.55065,1.16224,0.88035,0.83848,0.90537,0.67714,0.9684,0.6583,1.44896,0.004753,0.004753,0.004753
108,1669.03,0.7138,0.54257,1.15423,0.89301,0.82988,0.9077,0.6836,0.95705,0.64751,1.43194,0.0047035,0.0047035,0.0047035
109,1684.47,0.71471,0.54402,1.15436,0.89427,0.83598,0.917,0.68994,0.96116,0.61966,1.45536,0.004654,0.004654,0.004654
110,1700.08,0.71611,0.54288,1.15817,0.842,0.88361,0.91144,0.67598,0.96411,0.6379,1.46822,0.0046045,0.0046045,0.0046045
111,1715.53,0.70067,0.53016,1.14279,0.89737,0.83054,0.91505,0.67951,0.96131,0.62932,1.4595,0.004555,0.004555,0.004555
112,1731.07,0.70286,0.52822,1.14927,0.86419,0.82863,0.90255,0.67876,0.95725,0.64384,1.45773,0.0045055,0.0045055,0.0045055
113,1746.51,0.70051,0.53592,1.14983,0.82543,0.85766,0.89469,0.67552,0.9564,0.68207,1.46166,0.004456,0.004456,0.004456
114,1761.95,0.70325,0.53357,1.14861,0.82911,0.86236,0.8999,0.6712,0.97826,0.67347,1.47725,0.0044065,0.0044065,0.0044065
115,1777.37,0.69481,0.5214,1.14243,0.86995,0.83317,0.89872,0.67036,0.98034,0.67374,1.47611,0.004357,0.004357,0.004357
116,1792.8,0.70346,0.53032,1.14998,0.86709,0.82319,0.89808,0.67054,0.97879,0.65613,1.47493,0.0043075,0.0043075,0.0043075
117,1808.38,0.69105,0.51503,1.13925,0.87808,0.82504,0.89898,0.67018,0.98349,0.67527,1.48537,0.004258,0.004258,0.004258
118,1823.82,0.68851,0.5238,1.1389,0.83956,0.88781,0.91503,0.682,0.97461,0.65762,1.47621,0.0042085,0.0042085,0.0042085
119,1839.25,0.68796,0.51461,1.13938,0.83767,0.88464,0.90772,0.67354,0.96218,0.65881,1.45971,0.004159,0.004159,0.004159
120,1854.69,0.68964,0.51145,1.13194,0.89221,0.83226,0.91439,0.68277,0.96504,0.62612,1.46618,0.0041095,0.0041095,0.0041095
121,1870.12,0.68258,0.50728,1.13356,0.84795,0.87845,0.91749,0.67862,0.96758,0.63338,1.47613,0.00406,0.00406,0.00406
122,1885.61,0.67715,0.51004,1.12901,0.85959,0.86667,0.91431,0.6813,0.97433,0.63948,1.49254,0.0040105,0.0040105,0.0040105
123,1901.05,0.68316,0.50896,1.13841,0.84069,0.88488,0.91694,0.68348,0.9623,0.63323,1.47687,0.003961,0.003961,0.003961
124,1916.46,0.66792,0.49901,1.12542,0.86726,0.86494,0.91591,0.69001,0.96488,0.63064,1.48062,0.0039115,0.0039115,0.0039115
125,1931.87,0.66892,0.50257,1.12856,0.87042,0.87223,0.91738,0.68864,0.96954,0.64397,1.48283,0.003862,0.003862,0.003862
126,1947.33,0.67195,0.49842,1.13085,0.86559,0.87091,0.91645,0.68975,0.97092,0.62911,1.47875,0.0038125,0.0038125,0.0038125
127,1962.77,0.6731,0.49567,1.12937,0.86307,0.87832,0.91421,0.69122,0.96731,0.62074,1.47245,0.003763,0.003763,0.003763
128,1978.23,0.66884,0.50258,1.12573,0.84624,0.90684,0.91542,0.68992,0.97,0.6198,1.47855,0.0037135,0.0037135,0.0037135
129,1993.66,0.65665,0.49026,1.11741,0.87636,0.89086,0.91761,0.6902,0.94808,0.61545,1.45719,0.003664,0.003664,0.003664
130,2009.09,0.66016,0.49302,1.1247,0.87967,0.87605,0.90903,0.68887,0.95433,0.61345,1.46561,0.0036145,0.0036145,0.0036145
131,2024.52,0.6581,0.49109,1.11538,0.88436,0.85031,0.90481,0.68869,0.94968,0.6216,1.45909,0.003565,0.003565,0.003565
132,2039.94,0.65553,0.49132,1.12127,0.86702,0.87644,0.91206,0.69213,0.96048,0.62197,1.46627,0.0035155,0.0035155,0.0035155
133,2055.38,0.65296,0.48668,1.11498,0.90196,0.84317,0.91505,0.693,0.95735,0.62381,1.46531,0.003466,0.003466,0.003466
134,2070.86,0.64417,0.48423,1.11555,0.89573,0.84018,0.91408,0.69055,0.94863,0.62845,1.45496,0.0034165,0.0034165,0.0034165
135,2086.28,0.64756,0.48796,1.11595,0.84511,0.8849,0.91478,0.69439,0.9471,0.6388,1.45358,0.003367,0.003367,0.003367
136,2101.74,0.64877,0.48513,1.11641,0.83481,0.89533,0.91039,0.69258,0.94581,0.62676,1.46362,0.0033175,0.0033175,0.0033175
137,2117.2,0.6437,0.47834,1.11299,0.91872,0.82371,0.91323,0.68842,0.94878,0.62645,1.47143,0.003268,0.003268,0.003268
138,2132.64,0.64537,0.46829,1.11192,0.88407,0.8453,0.9103,0.68644,0.94924,0.62774,1.47247,0.0032185,0.0032185,0.0032185
139,2148.07,0.64141,0.46952,1.11104,0.89867,0.84027,0.91401,0.68545,0.95584,0.62836,1.47664,0.003169,0.003169,0.003169
140,2163.49,0.6397,0.47371,1.11124,0.88671,0.83745,0.91073,0.68745,0.96561,0.62593,1.49042,0.0031195,0.0031195,0.0031195
141,2178.94,0.63895,0.46806,1.10868,0.83095,0.89501,0.91337,0.69072,0.97228,0.62182,1.49865,0.00307,0.00307,0.00307
142,2194.4,0.63436,0.46887,1.10399,0.83144,0.90173,0.91186,0.69025,0.96932,0.61378,1.50587,0.0030205,0.0030205,0.0030205
143,2209.84,0.63267,0.47048,1.10342,0.82285,0.89808,0.91247,0.68702,0.96989,0.61657,1.51009,0.002971,0.002971,0.002971
144,2225.3,0.63753,0.47549,1.1069,0.91154,0.807,0.91039,0.68183,0.97051,0.61832,1.50947,0.0029215,0.0029215,0.0029215
